"ID","Levels","NeAuVar","NeCoVar","HWTeVar","HWPeVar","HWPaVar","AutTVar","ContVar","AMotVar","IdroVar","MattVar","SpråVar","SvenVar","PoänVar","GendVar","ClasVar","PartVar"
36,"1",2.4,2.5,2.85714285714286,NA,3.4,3.66666666666667,3.29166666666667,2,1,1,5,4,252.5,2,7,13
15,"1",3.6,3.5,3.71428571428571,NA,4.8,4.16666666666667,3.16666666666667,2,3,1,1,1,200,1,8,14
102,"1",NA,NA,NA,3.33333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,"1",3.2,5,1.57142857142857,3.33333333333333,4.8,4.5,4.5,1.33333333333333,NA,NA,NA,NA,NA,1,7,13
177,"1",2.6,2.5,1.57142857142857,1.66666666666667,3.8,2.33333333333333,1.45833333333333,3.66666666666667,1,0,2,2,47.5,1,8,14
33,"1",2.4,2.5,2.14285714285714,NA,3.4,2.83333333333333,2.79166666666667,2.33333333333333,NA,NA,NA,NA,NA,1,7,13
128,"1",2.6,3.75,2.57142857142857,3,3.2,2.83333333333333,3.08333333333333,2.33333333333333,NA,NA,NA,NA,NA,2,8,14
111,"1",3,4.25,3.28571428571429,3.33333333333333,4.4,4.33333333333333,3.70833333333333,1,3,2,4,3,227.5,1,7,13
150,"1",NA,NA,NA,2.33333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,"1",2.8,3.25,1.85714285714286,4,3.8,3.5,3.16666666666667,3,NA,NA,NA,NA,NA,2,7,13
11,"1",2.6,1.25,1.85714285714286,3.5,3.2,3,3.41666666666667,3.66666666666667,NA,NA,NA,NA,NA,2,8,14
158,"1",3.8,4.25,2.42857142857143,NA,4,2.33333333333333,2.58333333333333,1.33333333333333,NA,NA,NA,NA,NA,2,7,13
165,"1",3.6,3.75,3.28571428571429,NA,4.2,4.66666666666667,4,1.33333333333333,1,3,2,2,202.5,1,7,13
65,"1",2,2,2.14285714285714,NA,3.6,2.16666666666667,2.20833333333333,2,NA,NA,NA,NA,NA,1,8,14
159,"1",2,2.25,2.14285714285714,NA,3,2.83333333333333,2.66666666666667,3.33333333333333,2,1,2,1,162.5,1,8,14
194,"1",1.6,3.75,3,NA,3.6,3,2.79166666666667,1,1,3,2,2,202.5,1,7,13
80,"1",NA,NA,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
83,"1",NA,NA,NA,3.66666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,"1",3.2,4.25,2.57142857142857,2.83333333333333,4.2,5,3.5,1,NA,NA,NA,NA,NA,1,7,13
164,"1",4,4.5,2.14285714285714,3.33333333333333,4,4.16666666666667,3.54166666666667,1,NA,NA,NA,NA,NA,1,7,14
62,"1",2.8,3.75,2.85714285714286,2.83333333333333,4.4,3.83333333333333,3.70833333333333,1,3,3,3,4,257.5,2,8,14
7,"1",2.8,3.25,3.28571428571429,2.83333333333333,3.8,3.16666666666667,3.16666666666667,3,1,1,3,1,202.5,1,8,13
191,"1",4.6,4,5,3.8,5,3.33333333333333,4.20833333333333,1,2,1,1,2,230,1,7,13
79,"1",2.8,2.25,2.28571428571429,NA,4.2,3.5,3.45833333333333,2,2,2,3,1,205,2,7,13
174,"1",2,3.25,1.42857142857143,1.66666666666667,4,2.66666666666667,2.83333333333333,2.33333333333333,NA,NA,NA,NA,NA,1,8,14
52,"1",NA,NA,NA,3.83333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
183,"1",2.8,3.25,3.28571428571429,3.83333333333333,2.2,3.33333333333333,3.08333333333333,3.33333333333333,1,3,2,2,202.5,1,7,16
98,"1",3.2,3,3.71428571428571,NA,5,3.5,3.29166666666667,1,1,2,0,1,125,1,7,12
143,"1",2.4,3.25,3.71428571428571,2.33333333333333,4,2.83333333333333,2.45833333333333,2.66666666666667,NA,NA,NA,NA,NA,2,8,13
21,"1",2.4,3.25,1,2.33333333333333,2,4.33333333333333,5,5,3,4,4,3,260,1,7,12
40,"1",1.6,2.75,1.42857142857143,1,3.4,3.58333333333333,4.41666666666667,1.33333333333333,3,4,3,2,250,2,8,14
44,"1",NA,NA,NA,3,NA,NA,NA,NA,3,4,3,2,250,NA,NA,NA
88,"1",4.6,3.75,3.14285714285714,1,4.6,4.16666666666667,4.08333333333333,1,NA,NA,NA,NA,NA,1,7,13
110,"1",3.4,3.25,1,NA,1.4,4.16666666666667,3.45833333333333,2,NA,NA,NA,NA,NA,1,7,13
67,"1",2.4,1.75,3.71428571428571,NA,4,3.16666666666667,3.125,2,NA,NA,NA,NA,NA,2,8,14
58,"1",3.6,4.5,4.14285714285714,NA,5,4,3.83333333333333,1,3,3,5,3,250,2,8,14
109,"1",3.6,3.75,3,NA,3,3,2.875,1.66666666666667,4,1,4,4,230,1,7,13
48,"1",1.6,4.25,1.42857142857143,1,5,4.83333333333333,3.54166666666667,1,2,1,1,1,210,2,8,13
38,"1",3,3.75,2.71428571428571,1,3.8,3.66666666666667,4,1.66666666666667,NA,NA,NA,NA,NA,1,7,12
102,"1",3,2.75,3,2.33333333333333,5,3.66666666666667,4.08333333333333,5,3,2,2,2,202.5,2,7,13
17,"1",NA,NA,NA,2.66666666666667,NA,NA,NA,NA,0,0,2,0,87.5,NA,NA,NA
149,"1",2,2.5,2.71428571428571,1.83333333333333,4.4,1.5,2.375,2.66666666666667,NA,NA,NA,NA,NA,1,8,14
138,"1",2.8,2.5,3.28571428571429,3,4.6,2.83333333333333,3.41666666666667,2,NA,NA,NA,NA,NA,2,8,14
72,"1",NA,NA,NA,1,NA,NA,NA,NA,1,4,0,1,182.5,NA,NA,NA
167,"1",2.6,2.75,2.57142857142857,1.66666666666667,4.4,3.33333333333333,4.20833333333333,2,NA,NA,NA,NA,NA,2,7,12
144,"1",2.6,3,3.85714285714286,2.66666666666667,4.4,3.66666666666667,3.70833333333333,2,NA,NA,NA,NA,NA,2,8,13
47,"1",2.6,4,1.85714285714286,2.66666666666667,4.2,3.5,3.25,1,3,3,2,2,250,1,8,14
44,"1",2.6,3.5,2.85714285714286,2.5,3.4,3.33333333333333,4.125,1.66666666666667,2,0,3,1,177.5,1,8,13
104,"1",3.6,4,3.14285714285714,2.66666666666667,4.8,4.66666666666667,4.5,1,3,2,5,4,260,2,7,12
146,"1",NA,NA,NA,3.16666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,"1",1.4,4.5,1,4.33333333333333,4.6,5,4,2.66666666666667,NA,NA,NA,NA,NA,1,8,14
80,"1",3.8,3.25,3.28571428571429,2.83333333333333,4,4.16666666666667,3.33333333333333,1.33333333333333,3,4,4,3,260,2,7,13
23,"1",2.2,3.25,1.14285714285714,2.83333333333333,2.6,3.16666666666667,3.29166666666667,2.33333333333333,NA,NA,NA,NA,NA,1,7,13
14,"1",NA,NA,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
123,"1",3.8,5,3.85714285714286,1,2.6,5,4.83333333333333,1,NA,NA,NA,NA,NA,2,8,14
13,"1",NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
135,"1",3,3.25,3.71428571428571,2.5,4.6,3.83333333333333,3.625,3.33333333333333,NA,NA,NA,NA,NA,3,8,14
89,"1",3.6,3.5,3,4.16666666666667,4.8,2.66666666666667,2.125,1.66666666666667,3,2,2,2,202.5,NA,7,14
83,"1",3.8,4.25,2.42857142857143,4.16666666666667,4.6,4.33333333333333,3.16666666666667,1,NA,NA,NA,NA,NA,1,7,13
103,"1",3.2,3.25,5,3.5,5,4.5,4.58333333333333,2,NA,NA,NA,NA,NA,1,7,13
99,"1",3.8,3.25,2.42857142857143,3.83333333333333,4.6,4.25,3.16666666666667,1,NA,NA,NA,NA,NA,1,7,12
186,"1",3,3.5,2.71428571428571,3.83333333333333,5,3.66666666666667,3.75,3.33333333333333,NA,NA,NA,NA,NA,3,7,12
164,"1",4,4,3.85714285714286,3.83333333333333,5,3.16666666666667,4.875,1,2,3,2,2,237.5,2,7,13
16,"1",NA,NA,NA,2.16666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
130,"1",4,4.25,4,3.5,4.6,5,4.33333333333333,1,NA,NA,NA,NA,NA,1,8,13
146,"1",3.4,3.25,3.42857142857143,3.16666666666667,4.2,3.5,3.45833333333333,2,NA,NA,NA,NA,NA,2,8,15
90,"1",4.4,4.25,2.71428571428571,1,5,4.83333333333333,4.20833333333333,1,NA,NA,NA,NA,NA,1,7,12
90,"1",NA,NA,NA,3.83333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
111,"1",NA,NA,NA,2.83333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
187,"1",2.6,2.75,2.85714285714286,NA,5,2.66666666666667,2.70833333333333,5,NA,NA,NA,NA,NA,1,7,13
66,"1",2.6,4,3.42857142857143,1,3.4,2.66666666666667,1.79166666666667,1.33333333333333,3,5,4,3,282.5,2,8,13
85,"1",3.2,3.5,3.42857142857143,1,3.2,3.33333333333333,3.79166666666667,1.33333333333333,3,3,3,3,270,2,7,13
184,"1",3,2.75,3.71428571428571,NA,4.8,3.83333333333333,2.70833333333333,2.33333333333333,NA,NA,NA,NA,NA,2,7,13
60,"1",3,3,2.57142857142857,3.66666666666667,3.6,2.5,3.375,3,NA,NA,NA,NA,NA,1,8,14
77,"1",NA,NA,NA,3.66666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
118,"1",2.4,2.75,2,NA,4.2,4,3.25,1,2,1,1,2,230,1,8,14
119,"1",3,3.75,3.28571428571429,3.33333333333333,5,4.16666666666667,4.58333333333333,1,3,1,1,3,230,2,8,14
188,"1",3.4,4.5,4.42857142857143,4.16666666666667,5,4.5,3.25,1,NA,NA,NA,NA,NA,2,7,13
50,"1",3,3,3.57142857142857,5,3.6,3,2.79166666666667,2.33333333333333,3,2,3,5,252.5,1,8,14
153,"1",NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,"1",3.4,4.75,2.42857142857143,1.5,5,3.66666666666667,3.58333333333333,2.66666666666667,2,1,1,1,180,1,7,13
122,"1",2.2,1.25,2.71428571428571,NA,4.2,3.16666666666667,2.95833333333333,4,NA,NA,NA,NA,NA,2,8,14
